5/10/2018,Centrale des syndicats du Québec v. Quebec (Attorney General),McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),54202103/20180514-095510-.htm
5/10/2018,Quebec (Attorney General) v. Alliance du personnel professionnel et technique de la santé et des services sociaux,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),54280903/20180524-151314-.htm
4/20/2018,Office of the Children's Lawyer v. Balev,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),54060903/20180426-083104-.htm
4/19/2018,R. v. Comeau,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),54060803/20180426-083104-.htm
4/13/2018,R. v. Magoon,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom),54060703/20180426-083104-.htm
3/26/2018,R.A. v. Her Majesty The Queen,Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Rowe J. (Malcom),53912903/20180329-111448-.htm
3/23/2018,R. v. Carson,McLachlin J. (Beverley) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Wagner J. (Richard) ; Côté J. (Suzanne) ; Gascon J. (Clément) ; Brown J. (Russell) ; Rowe J. (Malcom),53912803/20180329-111448-.htm
3/21/2018,International Brotherhood of Electrical Workers (IBEW) Local 773 v. Lawrence,Wagner J. (Richard) ; Abella J. (Rosalie Silberman) ; Moldaver J. (Micheal J.) ; Karakatsanis J. (Andromache) ; Gascon J. (Clément) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Rowe J. (Malcom) ; Martin J. (Sheilah L.),53912703/20180329-111448-.htm
3/15/2018,R. v. Black,Wagner J. (Richard) ; Karakatsanis J. (Andromache) ; Brown J. (Russell) ; Rowe J. (Malcom) ; Martin J. (Sheilah L.),53862303/20180321-134705-.htm
2/19/2018,R. v. G.T.D.,Wagner J. (Richard) ; Abella J. (Rosalie Silberman) ; Côté J. (Suzanne) ; Brown J. (Russell) ; Martin J. (Sheilah L.),53637703/20180220-130637-.htm
